Asset - Asset #,Asset - Asset Identification Number
18771,357724083330534.00
18772,357724083507594.00
18773,357724081672986.00
18774,359031087179554.00
18775,359031085596973.00
18776,359031085475962.00
18777,359032082555814.00
18778,359031087206639.00
18779,359032082710955.00
18780,359031083326886.00
18781,359032082567066.00
18782,359031086410588.00
18783,359031085037986.00
18784,359031085792317.00
18785,359031086725928.00
18786,359031084261793.00
18787,359032082239922.00
18788,359031087011880.00
18789,359031086727502.00
18790,359032082837592.00
18791,359031085698688.00
18792,359031083868622.00
18793,359032082648676.00
18794,359031085393116.00
18795,359032082628926.00
18796,359032082693896.00
18797,359032081325904.00
18798,359031086467877.00
18799,359032081325367.00
18800,359031081426043.00
18801,359031086509298.00
18802,359032082701434.00
18803,359031085460667.00
18804,359032082646258.00
18805,359032082623992.00
18806,359031086554385.00
18807,359031082162290.00
18808,359031086796069.00
18809,359032082623109.00
18810,359032082766619.00
18811,357724081776597.00
18812,357724082619549.00
18813,357724081639662.00
18814,357724081952966.00
18815,357724083638324.00
18816,359032081289951.00
18817,359031083318362.00
18818,359032082700709.00
18819,359031086495175.00
18820,359031085227728.00
18821,359031080938444.00
18822,359032082611310.00
18823,359032082591785.00
18824,359031084218249.00
18825,359031085341271.00
18826,359031085133629.00
18827,359032083730770.00
18828,359031080349774.00
18829,359032081276610.00
18830,359031087186161.00
18831,359031084388695.00
18832,359032082704842.00
18833,359032082704800.00
18834,359031084507070.00
18835,359032081448409.00
18836,359032082627241.00
18837,354023082022959.00
18838,359032081653305.00
18839,359032082239989.00
18840,359031087220259.00
18841,359031083214488.00
18842,359032082634411.00
18843,359032082708033.00
18844,359032082406224.00
18845,359032082688086.00
18846,359031080891148.00
18847,359032082691254.00
18848,359031086511039.00
18849,359031086788108.00
18850,359032082442922.00
18851,359032082620188.00
18852,359032082623133.00
18853,359032082619214.00
18854,359032082618349.00
18855,359031087178051.00
18856,359032082715962.00
18857,359032083373795.00
18858,359031080434501.00
18859,359032082739723.00
18860,359032082359381.00
18861,359031085645200.00
18862,359031086790260.00
18863,359032082617416.00
18864,359032082692989.00
18865,359032082774084.00
18866,359031086583236.00
18867,359032081378291.00
18868,359031086708577.00
18869,359031083439200.00
18870,359032082654666.00
18871,359032082555632.00
18872,359032082727942.00
18873,359031085572339.00
18874,359031085583450.00
18875,359031087000198.00
18876,359031081523567.00
18877,359031087434058.00
18878,359031087102200.00
18879,359032083669275.00
18880,359032082621079.00
18881,359032081581647.00
18882,359032082186016.00
18883,359031084278342.00
18884,359032082624503.00
18885,359032083623652.00
18886,359032016359876.00
18887,359032082407644.00
18888,359031085336610.00
18889,354023082027693.00
18890,359032082690413.00
18891,359032082516147.00
18892,359031085650812.00
18893,354023081867487.00
18894,359032082739947.00
18895,359031084828542.00
18896,359032082698531.00
18897,359032082725961.00
18898,359031084733494.00
18899,359032080167307.00
18900,359032083293035.00
18901,359032083140699.00
18902,359032082704701.00
18903,359032082721242.00
18904,359032081377400.00
18905,359032083561449.00
18906,359031085227793.00
18907,359032081232167.00
18908,359032082704271.00
